FR,AC,User Story,Artifact,Confidence
FR-001,AC-001-01,US-001,requirements-spec.md,High
FR-001,AC-001-02,US-002,requirements-spec.md,High
FR-001,AC-001-03,US-007,requirements-spec.md,High
FR-001,AC-001-04,US-001,requirements-spec.md,High
FR-002,AC-002-01,US-001,requirements-spec.md,High
FR-002,AC-002-02,US-002,requirements-spec.md,High
FR-003,AC-003-01,US-003,requirements-spec.md,High
FR-003,AC-003-02,US-003,requirements-spec.md,High
FR-003,AC-003-03,US-003,requirements-spec.md,Medium
FR-004,AC-004-01,US-003,requirements-spec.md,High
FR-004,AC-004-02,US-003,requirements-spec.md,High
FR-004,AC-004-03,US-004,requirements-spec.md,High
FR-004,AC-004-04,US-004,requirements-spec.md,High
FR-005,AC-005-01,US-005,requirements-spec.md,High
FR-005,AC-005-02,US-005,requirements-spec.md,High
FR-005,AC-005-03,US-005,requirements-spec.md,Medium
FR-005,AC-005-04,US-005,requirements-spec.md,Medium
FR-006,AC-006-01,US-006,requirements-spec.md,Medium
FR-006,AC-006-02,US-006,requirements-spec.md,Medium
FR-006,AC-006-03,US-006,requirements-spec.md,Medium
FR-006,AC-006-04,US-006,requirements-spec.md,Medium
FR-007,AC-007-01,US-001,requirements-spec.md,High
FR-007,AC-007-02,US-001,requirements-spec.md,High
