Requirement,Acceptance Criterion,User Story,Priority,Confidence
FR-001,AC-001-01,US-001,Must Have,High
FR-001,AC-001-02,US-002,Must Have,High
FR-001,AC-001-03,US-002,Must Have,High
FR-001,AC-001-04,US-001,Must Have,High
FR-001,AC-001-05,US-006,Must Have,High
FR-001,AC-001-06,US-005,Must Have,High
FR-002,AC-002-01,US-003,Must Have,High
FR-002,AC-002-02,US-005,Must Have,High
FR-002,AC-002-03,US-003,Must Have,High
FR-002,AC-002-04,US-003,Must Have,High
FR-003,AC-003-01,US-004,Should Have,High
FR-003,AC-003-02,US-004,Should Have,High
FR-003,AC-003-03,US-004,Should Have,High
FR-003,AC-003-04,US-004,Should Have,High
FR-003,AC-003-05,US-004,Should Have,High
FR-003,AC-003-06,US-004,Should Have,High
FR-003,AC-003-07,US-004,Should Have,High
FR-004,AC-004-01,US-006,Must Have,High
FR-004,AC-004-02,US-006,Must Have,High
FR-004,AC-004-03,US-006,Must Have,High
FR-004,AC-004-04,US-006,Must Have,High
FR-005,AC-005-01,US-005,Must Have,High
FR-005,AC-005-02,US-005,Must Have,High
FR-005,AC-005-03,US-005,Must Have,High
FR-005,AC-005-04,US-005,Must Have,High
FR-006,AC-006-01,US-002,Must Have,High
FR-006,AC-006-02,US-002,Must Have,High
FR-006,AC-006-03,US-002,Must Have,High
FR-006,AC-006-04,US-002,Must Have,High
FR-006,AC-006-05,US-002,Must Have,High
FR-007,AC-007-01,US-005,Should Have,High
FR-007,AC-007-02,US-005,Should Have,High
FR-007,AC-007-03,US-005,Should Have,High
FR-007,AC-007-04,US-005,Should Have,High
FR-007,AC-007-05,US-005,Should Have,High
FR-008,AC-008-01,US-007,Must Have,High
FR-008,AC-008-02,US-007,Must Have,High
FR-008,AC-008-03,US-007,Must Have,High
FR-008,AC-008-04,US-007,Must Have,High
FR-009,AC-009-01,US-008,Should Have,High
FR-009,AC-009-02,US-008,Should Have,High
FR-009,AC-009-03,US-008,Should Have,High
FR-009,AC-009-04,US-008,Should Have,High
