FR_ID,FR_Title,AC_IDs,User_Story,Priority,Confidence,Artifact
FR-001,Hook Discovery,"AC-001-01,AC-001-02,AC-001-03,AC-001-04",US-001,Must Have,High,module-design.md
FR-002,Hook Execution,"AC-002-01,AC-002-02,AC-002-03",US-001,Must Have,High,module-design.md
FR-003,Exit Code Protocol,"AC-003-01,AC-003-02,AC-003-03,AC-003-04",US-002,Must Have,High,interface-spec.md
FR-004,Hook Points (General Pattern),"AC-004-01,AC-004-02,AC-004-03,AC-004-04,AC-004-05",US-004,Must Have,High,architecture-overview.md
FR-005,Phase Name Resolution,"AC-005-01,AC-005-02,AC-005-03,AC-005-04",US-003,Must Have,High,module-design.md
FR-006,Agent Retry Before User Escalation,"AC-006-01,AC-006-02,AC-006-03,AC-006-04,AC-006-05,AC-006-06",US-002,Must Have,High,architecture-overview.md
FR-007,Timeout Configuration,"AC-007-01,AC-007-02",US-005,Should Have,High,module-design.md
FR-008,Context Passing,"AC-008-01,AC-008-02,AC-008-03,AC-008-04,AC-008-05",US-004,Should Have,High,interface-spec.md
FR-009,Hook Authoring Guide,"AC-009-01,AC-009-02,AC-009-03",US-006,Should Have,High,impact-analysis.md
FR-010,Update Safety,"AC-010-01,AC-010-02,AC-010-03",,Must Have,High,impact-analysis.md
FR-011,Hook Execution Logging,"AC-011-01,AC-011-02,AC-011-03",,Could Have,Medium,module-design.md
FR-012,Hook Configuration Schema,"AC-012-01,AC-012-02,AC-012-03,AC-012-04",US-005,Must Have,High,interface-spec.md
FR-013,Hook Template Delivery,"AC-013-01,AC-013-02,AC-013-03,AC-013-04",US-008,Must Have,High,impact-analysis.md
FR-014,Runtime Misconfiguration Detection,"AC-014-01,AC-014-02,AC-014-03,AC-014-04",US-007,Must Have,High,module-design.md
